actions : [-1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, -0.28, -0.174, -0.379, -0.48, -0.79, 0.28, -0.174]


actions : [-1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, -0.28, -0.174, -0.379, -0.48, -0.79, 0.28, -0.174]


actions : [0.06425277143716812, -0.2149922102689743, 0.07399400323629379, 0.09390585124492645, 0.6971288323402405, 0.3326389193534851, 0.07907214015722275, -0.8964018225669861, -0.4672023057937622, -1.0]
unnormalized actions: [0.025416053146123885, 0.018479946479201315, -0.3174426385760308, 0.026293638348579396, 0.12130041682720183, 0.12740278935432436, 0.20521080899983646, -0.7444168019294739, -0.13081664562225342, -0.174]


actions : [1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.28684094548225403, 1.0, 1.0]
unnormalized actions: [0.381, -0.48, -0.79, -0.28, 0.174, 0.381, 0.79, -0.22378998398780825, 0.28, 0.174]


actions : [-1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -0.5866604447364807, -0.016113685443997383]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, -0.28, -0.174, -0.379, 0.79, -0.79, -0.1642649245262146, -0.002803781267255556]


actions : [-1.0, -1.0, -0.18278203904628754, 1.0, -1.0, -1.0, 1.0, -1.0, -0.4281032681465149, 1.0]
unnormalized actions: [-0.379, -0.48, -0.43042409718036656, 0.28, -0.174, -0.379, 0.79, -0.79, -0.11986891508102418, 0.174]


actions : [-1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.8851391673088074, -1.0, -1.0]
unnormalized actions: [-0.379, -0.48, -0.79, 0.28, 0.174, -0.379, -0.48, 0.03946123361587517, -0.28, -0.174]


actions : [1.0, -1.0, 1.0, -0.05899561196565628, -0.11058259755373001, 1.0, 1.0, -1.0, 0.5496715903282166, -1.0]
unnormalized actions: [0.381, -0.48, 0.08999999999999997, -0.016518771350383765, -0.019241371974349025, 0.381, 0.79, -0.79, 0.15390804529190066, -0.174]


actions : [-1.0, -1.0, -1.0, -0.7992430329322815, -0.6840603947639465, -0.21036499738693237, 1.0, -0.4306640028953552, -1.0, 1.0]
unnormalized actions: [-0.379, -0.48, -0.79, -0.22378804922103884, -0.1190265086889267, -0.07893869900703432, 0.79, -0.5394921612739563, -0.28, 0.174]


actions : [1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.16273395717144012, -1.0]
unnormalized actions: [0.381, -0.48, -0.79, 0.28, -0.174, 0.381, -0.48, 0.08999999999999997, -0.04556550800800324, -0.174]


actions : [1.0, -1.0, -0.24948562681674957, -1.0, -1.0, 1.0, 0.7120066285133362, 1.0, 1.0, 1.0]
unnormalized actions: [0.381, -0.48, -0.45977367579936984, -0.28, -0.174, 0.381, 0.6071242091059685, 0.08999999999999997, 0.28, 0.174]


actions : [1.0, -1.0, -0.9873939156532288, -1.0, -1.0, 1.0, -0.6602600812911987, 1.0, 0.3681323230266571, -0.31403836607933044]
unnormalized actions: [0.381, -0.48, -0.7844533228874206, -0.28, -0.174, 0.381, -0.26426515161991115, 0.08999999999999997, 0.10307705044746401, -0.0546426756978035]


actions : [1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0]
unnormalized actions: [0.381, -0.48, -0.79, 0.28, 0.174, 0.381, -0.48, 0.08999999999999997, 0.28, -0.174]


actions : [1.0, 0.42493754625320435, -1.0, -1.0, -1.0, -0.7029415369033813, 1.0, -1.0, 0.9257842898368835, 1.0]
unnormalized actions: [0.381, 0.42483534187078476, -0.79, -0.28, -0.174, -0.2661177840232849, 0.79, -0.79, 0.2592196011543274, 0.174]


actions : [0.7857587933540344, -1.0, -1.0, 0.31605836749076843, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]
unnormalized actions: [0.29958834147453306, -0.48, -0.79, 0.08849634289741515, 0.174, 0.381, 0.79, 0.08999999999999997, -0.28, -0.174]


actions : [1.0, 1.0, -1.0, -0.17611700296401978, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0]
unnormalized actions: [0.381, 0.79, -0.79, -0.04931276082992553, 0.174, -0.379, 0.79, 0.08999999999999997, 0.28, -0.174]


actions : [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.8660925626754761, 1.0, 1.0, 1.0]
unnormalized actions: [0.381, 0.79, 0.08999999999999997, 0.28, 0.174, 0.381, -0.3949687772989273, 0.08999999999999997, 0.28, 0.174]


actions : [-1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0]
unnormalized actions: [-0.379, 0.79, -0.79, 0.28, -0.174, 0.381, -0.48, 0.08999999999999997, -0.28, -0.174]


actions : [1.0, -0.6914376616477966, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -0.5694000124931335, 1.0]
unnormalized actions: [0.381, -0.28406291514635085, 0.08999999999999997, 0.28, -0.174, -0.379, -0.48, -0.79, -0.1594320034980774, 0.174]


actions : [-1.0, -1.0, 1.0, -1.0, 0.26560500264167786, 1.0, -1.0, -1.0, 1.0, 1.0]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, -0.28, 0.04621527045965193, 0.381, -0.48, -0.79, 0.28, 0.174]


actions : [-1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, 0.28, -0.174, 0.381, -0.48, -0.79, 0.28, 0.174]


actions : [1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0]
unnormalized actions: [0.381, -0.48, 0.08999999999999997, 0.28, -0.174, -0.379, 0.79, -0.79, -0.28, 0.174]


actions : [-0.16938337683677673, -0.7159487009048462, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0]
unnormalized actions: [-0.06336568319797514, -0.2996274250745773, 0.08999999999999997, -0.28, 0.174, -0.379, 0.79, 0.08999999999999997, -0.28, 0.174]


actions : [1.0, -1.0, 1.0, 1.0, -0.36310526728630066, 1.0, 1.0, 1.0, 1.0, 1.0]
unnormalized actions: [0.381, -0.48, 0.08999999999999997, 0.28, -0.06318031650781632, 0.381, 0.79, 0.08999999999999997, 0.28, 0.174]


actions : [-1.0, -1.0, 0.9130069613456726, -0.13591092824935913, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]
unnormalized actions: [-0.379, -0.48, 0.05172306299209595, -0.038055059909820554, -0.174, -0.379, 0.79, -0.79, -0.28, -0.174]


actions : [0.47277575731277466, -1.0, 1.0, -0.4421461224555969, -0.8355001211166382, -1.0, 0.1929205358028412, 0.5832483768463135, -0.08919388800859451, 0.7794455885887146]
unnormalized actions: [0.18065478777885435, -0.48, 0.08999999999999997, -0.12380091428756715, -0.14537702107429504, -0.379, 0.2775045402348042, -0.0933707141876221, -0.024974288642406473, 0.1356235324144363]


actions : [1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0]
unnormalized actions: [0.381, 0.79, -0.79, 0.28, -0.174, 0.381, -0.48, 0.08999999999999997, -0.28, 0.174]


actions : [0.119997039437294, -1.0, 1.0, -1.0, 0.04068922996520996, -0.8192496299743652, -0.40479975938796997, 1.0, -1.0, 0.749041736125946]
unnormalized actions: [0.04659887498617171, -0.48, 0.08999999999999997, -0.28, 0.007079926013946525, -0.3103148593902588, -0.1020478472113609, 0.08999999999999997, -0.28, 0.13033326208591461]


actions : [-1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0]
unnormalized actions: [-0.379, -0.48, 0.08999999999999997, -0.28, -0.174, 0.381, -0.48, 0.08999999999999997, 0.28, 0.174]


actions : [-1.0, 1.0, 1.0, -0.4888552129268646, -1.0, 1.0, -1.0, 1.0, 0.36763399839401245, -1.0]
unnormalized actions: [-0.379, 0.79, 0.08999999999999997, -0.1368794596195221, -0.174, 0.381, -0.48, 0.08999999999999997, 0.10293751955032349, -0.174]


actions : [1.0, -1.0, 0.509406566619873, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0]
unnormalized actions: [0.381, -0.48, -0.12586111068725592, 0.28, -0.174, 0.381, -0.48, 0.08999999999999997, -0.28, 0.174]


actions : [-0.758980393409729, 1.0, -1.0, 1.0, 1.0, -0.947529673576355, 1.0, 1.0, 1.0, 1.0]
unnormalized actions: [-0.28741254949569706, 0.79, -0.79, 0.28, 0.174, -0.3590612759590149, 0.79, 0.08999999999999997, 0.28, 0.174]


actions : [-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]
unnormalized actions: [-0.379, 0.79, 0.08999999999999997, 0.28, 0.174, 0.381, 0.79, 0.08999999999999997, -0.28, -0.174]


actions : [1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.002644158899784088, 1.0, -1.0, 1.0]
unnormalized actions: [0.381, -0.48, 0.08999999999999997, 0.28, -0.174, 0.381, 0.15667904090136298, 0.08999999999999997, -0.28, 0.174]


actions : [1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.9206262826919556, 0.3091055750846863]
unnormalized actions: [0.381, -0.48, -0.79, 0.28, 0.174, -0.379, 0.79, 0.08999999999999997, 0.2577753591537476, 0.05378437006473541]


actions : [1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]
unnormalized actions: [0.381, 0.79, 0.08999999999999997, 0.28, -0.174, -0.379, -0.48, -0.79, 0.28, 0.174]


actions : [1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0]
unnormalized actions: [0.381, 0.79, -0.79, 0.28, 0.174, -0.379, 0.79, 0.08999999999999997, 0.28, -0.174]


actions : [1.0, -1.0, 1.0, 1.0, 0.1544424444437027, -1.0, 0.6900331974029541, 1.0, -1.0, 0.8757808208465576]
unnormalized actions: [0.381, -0.48, 0.08999999999999997, 0.28, 0.026872985333204258, -0.379, 0.5931710803508758, 0.08999999999999997, -0.28, 0.152385862827301]


actions : [-1.0, -1.0, -1.0, 1.0, -1.0, 0.011940330266952515, 0.5419489145278931, 1.0, -1.0, 1.0]
unnormalized actions: [-0.379, -0.48, -0.79, 0.28, -0.174, 0.005537325501441981, 0.4991375607252121, 0.08999999999999997, -0.28, 0.174]


