LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.00931161;-0.196506;0.354628;-0.158153;0.0096629;-0.00940609;-0.198498;0.358222;-0.159752;0.00975895
-0.00948686;-0.199707;0.360466;-0.160778;0.00985203;-0.00958538;-0.201779;0.364203;-0.162441;0.00995207
-0.00965996;-0.202849;0.366206;-0.163363;0.0100391;-0.00976229;-0.205001;0.370087;-0.16509;0.0101433
-0.00983095;-0.205934;0.371849;-0.165908;0.0102242;-0.00993729;-0.208167;0.375876;-0.1677;0.0103326
-0.00999985;-0.208961;0.377396;-0.168414;0.0104072;-0.0101104;-0.211275;0.38157;-0.170271;0.01052
-0.0101667;-0.211931;0.382847;-0.170881;0.0105882;-0.0102816;-0.214328;0.387169;-0.172805;0.0107055
-0.0103315;-0.214845;0.388205;-0.17331;0.0107673;-0.0104504;-0.217325;0.392676;-0.175301;0.0108886
-0.0104943;-0.217704;0.393468;-0.175702;0.0109443;-0.0106177;-0.220268;0.398089;-0.177759;0.0110703
-0.0106551;-0.220508;0.398639;-0.178055;0.0111195;-0.0107827;-0.223156;0.403412;-0.180181;0.01125
-0.0108139;-0.223257;0.403719;-0.180372;0.0112927;-0.0109458;-0.225989;0.408643;-0.182565;0.0114279
-0.0109708;-0.225952;0.408708;-0.182652;0.0114641;-0.011107;-0.22877;0.413785;-0.184914;0.0116038
-0.0111258;-0.228593;0.413606;-0.184896;0.0116335;-0.0112667;-0.231497;0.418837;-0.187226;0.0117779
-0.0112791;-0.231199;0.418444;-0.187114;0.0118014;-0.0114241;-0.234189;0.42383;-0.189514;0.0119505
-0.0114307;-0.233769;0.423222;-0.189308;0.0119675;-0.0115805;-0.236846;0.428763;-0.191778;0.0121212
-0.0115806;-0.236304;0.42794;-0.191478;0.0121321;-0.011735;-0.239468;0.433637;-0.194017;0.0122905
-0.0117289;-0.238805;0.4326;-0.193624;0.012295;-0.0118876;-0.242055;0.438453;-0.196234;0.0124583
-0.0118756;-0.24127;0.437201;-0.195746;0.0124564;-0.0120387;-0.244609;0.443211;-0.198426;0.0126243
-0.0120206;-0.243702;0.441744;-0.197845;0.0126161;-0.0121884;-0.247128;0.447912;-0.200595;0.0127892
-0.0121641;-0.2461;0.44623;-0.19992;0.0127743;-0.0123367;-0.249614;0.452557;-0.202742;0.0129523
-0.0123061;-0.248464;0.450659;-0.201972;0.0129309;-0.0124836;-0.252067;0.457145;-0.204865;0.0131135
-0.0124464;-0.250796;0.455032;-0.204;0.013086;-0.0126286;-0.254487;0.461678;-0.206966;0.0132737
