LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.0093083;-0.193245;0.348692;-0.155485;0.00945137;-0.00939941;-0.195159;0.352144;-0.157022;0.00954247
-0.00949401;-0.196505;0.354629;-0.15815;0.00964195;-0.0095892;-0.198498;0.358223;-0.15975;0.00973701
-0.00967753;-0.199706;0.360468;-0.160775;0.00983046;-0.00977659;-0.201778;0.364204;-0.162438;0.00992918
-0.00985886;-0.202848;0.366208;-0.16336;0.0100169;-0.00996208;-0.205001;0.370089;-0.165087;0.0101199
-0.010038;-0.205933;0.371851;-0.165905;0.0102013;-0.0101452;-0.208166;0.375878;-0.167697;0.0103083
-0.0102151;-0.20896;0.377397;-0.168411;0.0103837;-0.0103269;-0.211275;0.381571;-0.170269;0.0104952
-0.0103901;-0.211931;0.382849;-0.170879;0.010564;-0.0105057;-0.214327;0.387171;-0.172802;0.0106797
-0.010563;-0.214845;0.388206;-0.173308;0.0107423;-0.0106831;-0.217325;0.392677;-0.175299;0.0108619
-0.0107339;-0.217704;0.39347;-0.175699;0.0109185;-0.0108585;-0.220267;0.398091;-0.177757;0.0110426
-0.0109029;-0.220507;0.39864;-0.178053;0.0110928;-0.0110316;-0.223155;0.403413;-0.180178;0.0112214
-0.0110698;-0.223257;0.40372;-0.18037;0.011265;-0.0112033;-0.225988;0.408644;-0.182563;0.0113978
-0.0112349;-0.225952;0.408708;-0.18265;0.0114353;-0.0113726;-0.228768;0.413786;-0.184911;0.0115728
-0.0113979;-0.228594;0.413607;-0.184894;0.0116037;-0.0115404;-0.231496;0.418838;-0.187224;0.0117455
-0.0115593;-0.2312;0.418445;-0.187112;0.0117703;-0.0117064;-0.234188;0.423831;-0.189512;0.0119166
-0.011719;-0.23377;0.423222;-0.189306;0.0119353;-0.0118704;-0.236844;0.428764;-0.191776;0.0120864
-0.011877;-0.236305;0.427941;-0.191476;0.0120985;-0.012033;-0.239466;0.433638;-0.194016;0.0122542
-0.0120334;-0.238806;0.4326;-0.193622;0.0122601;-0.0121942;-0.242053;0.438455;-0.196232;0.0124202
-0.0121882;-0.241272;0.437201;-0.195745;0.0124201;-0.0123539;-0.244607;0.443213;-0.198424;0.0125847
-0.0123414;-0.243704;0.441744;-0.197843;0.0125784;-0.0125117;-0.247126;0.447914;-0.200593;0.0127478
-0.0124931;-0.246102;0.44623;-0.199918;0.012735;-0.0126681;-0.249612;0.452558;-0.20274;0.0129094
-0.0126431;-0.248466;0.450659;-0.20197;0.0128901;-0.0128231;-0.252065;0.457147;-0.204864;0.0130692
-0.0127916;-0.250798;0.455032;-0.203999;0.0130436;-0.0129766;-0.254485;0.461679;-0.206964;0.0132275
-0.0129386;-0.253097;0.459349;-0.206005;0.0131955;-0.0131283;-0.256872;0.466157;-0.209043;0.0133843
-0.0130841;-0.255363;0.463611;-0.207989;0.0133459;-0.013279;-0.259227;0.47058;-0.211098;0.0135393
-0.0132281;-0.257597;0.467819;-0.20995;0.0134947;-0.0134277;-0.26155;0.474948;-0.213132;0.0136933
-0.0133706;-0.259799;0.471973;-0.21189;0.013642;-0.0135751;-0.263842;0.479264;-0.215145;0.0138454
-0.0135117;-0.26197;0.476074;-0.213808;0.0137878;-0.013721;-0.266102;0.483526;-0.217135;0.0139961
-0.0136512;-0.264109;0.480121;-0.215704;0.0139321;-0.0138655;-0.268331;0.487735;-0.219104;0.0141459
-0.0137894;-0.266218;0.484116;-0.217578;0.014075;-0.014009;-0.270529;0.491892;-0.221052;0.0142937
-0.0139262;-0.268297;0.488058;-0.219434;0.0142162;-0.0141506;-0.272697;0.495998;-0.222979;0.0144401
-0.0140616;-0.270346;0.491949;-0.221268;0.014356;-0.0142908;-0.274835;0.500052;-0.224885;0.014585
-0.0141956;-0.272364;0.495789;-0.223081;0.0144945;-0.0144296;-0.276943;0.504055;-0.226771;0.014729
-0.0143281;-0.274353;0.499578;-0.224874;0.0146315;-0.0145669;-0.279021;0.508008;-0.228637;0.0148716
-0.0144593;-0.276319;0.503327;-0.226649;0.0147672;-0.0147033;-0.281076;0.51192;-0.230485;0.0150123
-0.0145891;-0.278262;0.507034;-0.228406;0.0149015;-0.0148382;-0.283109;0.515791;-0.232316;0.015152
-0.0147176;-0.280182;0.510701;-0.230146;0.0150346;-0.0149717;-0.285119;0.519622;-0.234129;0.0152907
-0.0148449;-0.28208;0.514328;-0.231869;0.0151664;-0.0151038;-0.287107;0.523413;-0.235925;0.0154281
-0.0149708;-0.283955;0.517916;-0.233574;0.0152968;-0.0152349;-0.289072;0.527164;-0.237704;0.015564
-0.0150954;-0.285809;0.521464;-0.235263;0.015426;-0.0153646;-0.291016;0.530876;-0.239467;0.0156984
-0.0152187;-0.287641;0.524974;-0.236935;0.0155541;-0.0154929;-0.292938;0.534549;-0.241212;0.0158319
-0.0153407;-0.289451;0.528445;-0.23859;0.0156809;-0.0156198;-0.294838;0.538183;-0.242941;0.015964
-0.0154614;-0.29124;0.531878;-0.240229;0.0158066;-0.0157461;-0.296717;0.54178;-0.244654;0.0160952
-0.0155809;-0.293008;0.535273;-0.241852;0.015931;-0.0158706;-0.298575;0.545338;-0.24635;0.0162249
-0.0156991;-0.294755;0.538631;-0.243458;0.0160543;-0.0159941;-0.300412;0.548859;-0.24803;0.0163536
-0.0158161;-0.296481;0.541952;-0.245049;0.0161764;-0.0161161;-0.302228;0.552343;-0.249694;0.0164809
-0.0159319;-0.298187;0.545236;-0.246624;0.0162973;-0.0162373;-0.304023;0.555791;-0.251343;0.0166073
-0.0160464;-0.299872;0.548484;-0.248183;0.0164171;-0.0163574;-0.305798;0.559202;-0.252975;0.0167322
-0.0161598;-0.301538;0.551696;-0.249726;0.0165358;-0.0164762;-0.307553;0.562577;-0.254593;0.0168557
-0.016272;-0.303184;0.554873;-0.251254;0.0166533;-0.0165935;-0.309288;0.565916;-0.256195;0.0169787
-0.0163829;-0.30481;0.558015;-0.252767;0.0167697;-0.0167098;-0.311003;0.56922;-0.257781;0.0171003
-0.0164928;-0.306416;0.561121;-0.254265;0.0168851;-0.0168252;-0.312699;0.572489;-0.259352;0.0172205
-0.0166014;-0.308003;0.564194;-0.255748;0.0169993;-0.0169392;-0.314375;0.575723;-0.260908;0.0173397
-0.016709;-0.309571;0.567232;-0.257216;0.0171124;-0.0170522;-0.316032;0.578923;-0.26245;0.017458
-0.0168154;-0.311122;0.570239;-0.258669;0.0172244;-0.0171642;-0.317672;0.582091;-0.263977;0.0175748
-0.0169208;-0.312657;0.573215;-0.260109;0.0173354;-0.0172749;-0.319295;0.585228;-0.265489;0.0176911
-0.017025;-0.314176;0.57616;-0.261535;0.0174453;-0.0173845;-0.320901;0.588335;-0.266988;0.0178061
-0.0171282;-0.315678;0.579076;-0.262947;0.0175542;-0.0174932;-0.322492;0.591411;-0.268473;0.0179195
-0.0172303;-0.317164;0.581962;-0.264345;0.017662;-0.017601;-0.324065;0.594457;-0.269944;0.0180326
-0.0173314;-0.318634;0.584818;-0.265729;0.0177688;-0.0177078;-0.325623;0.597473;-0.2714;0.0181441
-0.0174315;-0.320089;0.587645;-0.2671;0.0178746;-0.0178132;-0.327165;0.600459;-0.272844;0.0182552
-0.0175305;-0.321528;0.590442;-0.268458;0.0179794;-0.0179176;-0.328691;0.603417;-0.274274;0.0183649
-0.0176285;-0.322951;0.593211;-0.269802;0.0180832;-0.0180211;-0.330201;0.606345;-0.275691;0.0184736
-0.0177255;-0.324359;0.595952;-0.271133;0.018186;-0.0181241;-0.331696;0.609244;-0.277094;0.0185809
-0.0178215;-0.325752;0.598664;-0.272452;0.0182877;-0.0182257;-0.333176;0.612115;-0.278484;0.0186877
-0.0179166;-0.32713;0.601349;-0.273757;0.0183885;-0.0183258;-0.33464;0.614957;-0.279861;0.0187936
-0.0180107;-0.328493;0.604006;-0.27505;0.0184883;-0.0184255;-0.336089;0.617772;-0.281226;0.018898
-0.0181038;-0.329842;0.606636;-0.27633;0.018587;-0.0185242;-0.337523;0.620559;-0.282577;0.019002
-0.0181961;-0.331176;0.609239;-0.277597;0.0186848;-0.0186219;-0.338942;0.623318;-0.283916;0.0191045
-0.0182874;-0.332495;0.611815;-0.278852;0.0187816;-0.0187187;-0.340347;0.62605;-0.285242;0.0192065
