LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.0539371;-0.4512175;00.8480938;-0.3968763;00.0539371;-0.0009694;-0.4544636;00.8545070;-0.4000434;00.0009694
-0.0570996;-0.4501455;00.8473031;-0.3971576;00.0570996;00.0022039;-0.4537804;00.8544866;-0.4007061;-0.0022039
-0.0606622;-0.4489054;00.8463561;-0.3974507;00.0606622;00.0057801;-0.4529786;00.8544087;-0.4014301;-0.0057801
-0.0646781;-0.4474672;00.8452168;-0.3977497;00.0646781;00.0098131;-0.4520352;00.8542512;-0.4022160;-0.0098131
-0.0692069;-0.4457951;00.8438405;-0.3980454;00.0692069;00.0143632;-0.4509220;00.8539848;-0.4030628;-0.0143632
-0.0743153;-0.4438456;00.8421709;-0.3983253;00.0743153;00.0194983;-0.4496043;00.8535711;-0.4039668;-0.0194983
-0.0800781;-0.4415657;00.8401372;-0.3985714;00.0800781;00.0252947;-0.4480394;00.8529600;-0.4049207;-0.0252947
-0.0865789;-0.4388909;00.8376502;-0.3987593;00.0865789;00.0318378;-0.4461740;00.8520860;-0.4059120;-0.0318378
-0.0939111;-0.4357417;00.8345973;-0.3988556;00.0939111;00.0392232;-0.4439424;00.8508640;-0.4069216;-0.0392232
-0.1021788;-0.4320204;00.8308354;-0.3988150;00.1021788;00.0475580;-0.4412625;00.8491833;-0.4079208;-0.0475580
-0.1114979;-0.4276058;00.8261823;-0.3985765;00.1114979;00.0569616;-0.4380319;00.8469004;-0.4088685;-0.0569616
-0.1219967;-0.4223470;00.8204052;-0.3980582;00.1219967;00.0675670;-0.4341219;00.8438288;-0.4097070;-0.0675670
-0.1338146;-0.4160558;00.8132066;-0.3971507;00.1338146;00.0795191;-0.4293713;00.8397273;-0.4103560;-0.0795191
-0.1470980;-0.4084972;00.8042068;-0.3957096;00.1470980;00.0929715;-0.4235780;00.8342847;-0.4107067;-0.0929715
-0.1652749;-0.4449701;00.8834721;-0.4385020;00.1652749;00.1080306;-0.4165017;00.8271274;-0.4106257;-0.1080306
-0.1856196;-0.4844553;00.9630577;-0.4786024;00.1856196;00.1244437;-0.4161562;00.8307232;-0.4145670;-0.1244437
-0.2069788;-0.5232844;01.0339273;-0.5106429;00.2069788;00.1412425;-0.4172414;00.8362451;-0.4190037;-0.1412425
-0.2282756;-0.5618445;01.0940886;-0.5322441;00.2282756;00.1575897;-0.4182020;00.8414291;-0.4232272;-0.1575897
-0.2484661;-0.6015956;01.1427726;-0.5411770;00.2484661;00.1727703;-0.4188630;00.8459726;-0.4271096;-0.1727703
-0.2665636;-0.6435734;01.1791455;-0.5355721;00.2665636;00.1861797;-0.4195373;00.8502074;-0.4306701;-0.1861797
-0.2817627;-0.6867944;01.2031303;-0.5163359;00.2817627;00.1973156;-0.4205981;00.8546407;-0.4340425;-0.1973156
-0.2934189;-0.7292121;01.2147382;-0.4855261;00.2934189;00.2057836;-0.4220998;00.8597380;-0.4376381;-0.2057836
-0.3010328;-0.7684631;01.2140686;-0.4456056;00.3010328;00.2112866;-0.4238082;00.8657274;-0.4419192;-0.2112866
-0.3042506;-0.8022202;01.2015711;-0.3993509;00.3042506;00.2136125;-0.4252878;00.8725540;-0.4472662;-0.2136125
-0.3028645;-0.8284417;01.1782061;-0.3497644;00.3028645;00.2126255;-0.4259518;00.8799013;-0.4539495;-0.2126255
-0.2968129;-0.8455289;01.1454838;-0.2999548;00.2968129;00.2082587;-0.4251136;00.8872331;-0.4621195;-0.2082587
-0.2861786;-0.8524647;01.1052103;-0.2527456;00.2861786;00.2005093;-0.4222203;00.8938573;-0.4716370;-0.2005093
-0.2711875;-0.8486214;01.0594012;-0.2107799;00.2711875;00.1894357;-0.4167426;00.8989881;-0.4822455;-0.1894357
-0.2522054;-0.8335559;01.0100671;-0.1765113;00.2522054;00.1751605;-0.4081216;00.9017481;-0.4936265;-0.1751605
-0.2297530;-0.8071080;00.9585166;-0.1514086;00.2297530;00.1578751;-0.3957420;00.9011523;-0.5054103;-0.1578751
-0.2045484;-0.7702348;00.9039337;-0.1336989;00.2045484;00.1378496;-0.3790208;00.8961745;-0.5171537;-0.1378496
-0.1773774;-0.7238869;00.8440866;-0.1201997;00.1773774;00.1154440;-0.3577754;00.8860766;-0.5283013;-0.1154440
-0.1490317;-0.6686607;00.7759538;-0.1072931;00.1490317;00.0911087;-0.3320142;00.8702623;-0.5382481;-0.0911087
-0.1202865;-0.6047823;00.6958729;-0.0910906;00.1202865;00.0653854;-0.3017927;00.8481918;-0.5463992;-0.0653854
-0.0937607;-0.5923968;00.7115782;-0.1191815;00.0937607;00.0389053;-0.2671938;00.8194090;-0.5522152;-0.0389053
-0.0672727;-0.5861480;00.7365860;-0.1504380;00.0672727;00.0123581;-0.2385383;00.8006777;-0.5621394;-0.0123581
-0.0408833;-0.5793121;00.7597587;-0.1804467;00.0408833;-0.0140658;-0.2101502;00.7813329;-0.5711827;00.0140658
-0.0146707;-0.5700219;00.7787132;-0.2086912;00.0146707;-0.0402516;-0.1797477;00.7577007;-0.5779530;00.0402516
00.0113366;-0.5578365;00.7930696;-0.2352332;-0.0113366;-0.0661630;-0.1463946;00.7282682;-0.5818736;00.0661630
00.0370841;-0.5427266;00.8028748;-0.2601482;-0.0370841;-0.0917455;-0.1095776;00.6920729;-0.5824953;00.0917455
00.0623746;-0.5248019;00.8082988;-0.2834969;-0.0623746;-0.1193571;-0.1192759;00.7585061;-0.6392302;00.1193571
00.0869523;-0.5113515;00.8190196;-0.3076681;-0.0869523;-0.1474137;-0.1348730;00.8283778;-0.6935049;00.1474137
00.1101654;-0.4980887;00.8281846;-0.3300960;-0.1101654;-0.1749815;-0.1573595;00.8965710;-0.7392115;00.1749815
00.1314174;-0.4845018;00.8345406;-0.3500388;-0.1314174;-0.2011125;-0.1921008;00.9652857;-0.7731849;00.2011125
00.1502002;-0.4714148;00.8384563;-0.3670415;-0.1502002;-0.2248570;-0.2452291;01.0367840;-0.7915550;00.2248570
00.1660887;-0.4601976;00.8410418;-0.3808442;-0.1660887;-0.2453376;-0.3189540;01.1088337;-0.7898797;00.2453376
00.1787364;-0.4521237;00.8439504;-0.3918267;-0.1787364;-0.2618682;-0.4079821;01.1738604;-0.7658783;00.2618682
00.1878824;-0.4476120;00.8488825;-0.4012706;-0.1878824;-0.2739228;-0.5046887;01.2237626;-0.7190740;00.2739228
00.1933464;-0.4463421;00.8568155;-0.4104733;-0.1933464;-0.2811245;-0.6007776;01.2520597;-0.6512821;00.2811245
00.1950298;-0.4473638;00.8676980;-0.4203342;-0.1950298;-0.2832473;-0.6880725;01.2549218;-0.5668493;00.2832473
00.1929156;-0.4492375;00.8804903;-0.4312528;-0.1929156;-0.2802214;-0.7594668;01.2317112;-0.4722444;00.2802214
00.1870651;-0.4502748;00.8934861;-0.4432113;-0.1870651;-0.2721390;-0.8099043;01.1850851;-0.3751809;00.2721390
00.1776073;-0.4488122;00.9047761;-0.4559638;-0.1776073;-0.2592566;-0.8369683;01.1206878;-0.2837195;00.2592566
00.1647296;-0.4434096;00.9126376;-0.4692280;-0.1647296;-0.2419895;-0.8407583;01.0465733;-0.2058151;00.2419895
00.1486734;-0.4328990;00.9156947;-0.4827957;-0.1486734;-0.2209101;-0.8233556;00.9717537;-0.1483980;00.2209101
00.1297402;-0.4163968;00.9128907;-0.4964939;-0.1297402;-0.1967974;-0.7890493;00.9002300;-0.1111806;00.1967974
00.1083072;-0.3938340;00.9036929;-0.5098590;-0.1083072;-0.1705225;-0.7415730;00.8301700;-0.0885970;00.1705225
00.0848388;-0.3656329;00.8878160;-0.5221832;-0.0848388;-0.1429489;-0.6830355;00.7565753;-0.0735398;00.1429489
