LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
00.1513909;-0.4792970;00.8382947;-0.3589977;-0.1513909;-0.2261855;-0.0436455;00.8759314;-0.8322859;00.2261855
00.1671556;-0.4609020;00.8390758;-0.3781737;-0.1671556;-0.2464786;-0.1520268;00.9941815;-0.8421546;00.2464786
00.1797130;-0.4467210;00.8390063;-0.3922854;-0.1797130;-0.2628412;-0.2837646;01.1054318;-0.8216672;00.2628412
00.1887806;-0.4378196;00.8416835;-0.4038640;-0.1887806;-0.2747568;-0.4265631;01.1926116;-0.7660485;00.2747568
00.1941524;-0.4340739;00.8494347;-0.4153607;-0.1941524;-0.2818493;-0.5673757;01.2430716;-0.6756959;00.2818493
00.1957129;-0.4341193;00.8624754;-0.4283561;-0.1957129;-0.2838834;-0.6927529;01.2494116;-0.5566587;00.2838834
00.1934491;-0.4355180;00.8788558;-0.4433378;-0.1934491;-0.2807756;-0.7907157;01.2103139;-0.4195983;00.2807756
00.1874477;-0.4353151;00.8952238;-0.4599087;-0.1874477;-0.2726095;-0.8534575;01.1307037;-0.2772461;00.2726095
00.1778716;-0.4307718;00.9080723;-0.4773005;-0.1778716;-0.2596434;-0.8789536;01.0211447;-0.1421912;00.2596434
00.1649299;-0.4198367;00.9147186;-0.4948819;-0.1649299;-0.2423026;-0.8708877;00.8974483;-0.0265606;00.2423026
00.1488629;-0.4012060;00.9135881;-0.5123821;-0.1488629;-0.2211688;-0.8376920;00.7800166;00.0576754;00.2211688
00.1299498;-0.3742416;00.9039958;-0.5297542;-0.1299498;-0.1970221;-0.7895727;00.6811574;00.1084153;00.1970221
00.1085408;-0.3393860;00.8858761;-0.5464901;-0.1085408;-0.1707262;-0.7328237;00.6006337;00.1321900;00.1707262
00.0850845;-0.2974525;00.8590095;-0.5615569;-0.0850845;-0.1431364;-0.6687974;00.5293681;00.1394293;00.1431364
00.0601335;-0.2489427;00.8226027;-0.5736600;-0.0601335;-0.1150719;-0.5950041;00.4513531;00.1436510;00.1150719
00.0343372;-0.1939278;00.7752990;-0.5813712;-0.0343372;-0.0891828;-0.5981488;00.5176313;00.0805175;00.0891828
00.0083503;-0.1462990;00.7390542;-0.5927552;-0.0083503;-0.0632516;-0.6050555;00.5867329;00.0183226;00.0632516
-0.0175934;-0.0982763;00.6997287;-0.6014524;00.0175934;-0.0373504;-0.6069305;00.6450110;-0.0380805;00.0373504
-0.0433571;-0.0462351;00.6513416;-0.6051065;00.0433571;-0.0115705;-0.6027186;00.6923537;-0.0896351;00.0115705
-0.0688945;00.0119156;00.5901637;-0.6020793;00.0688945;00.0140506;-0.5928227;00.7302317;-0.1374090;-0.0140506
-0.0941468;00.0785343;00.5115833;-0.5901176;00.0941468;00.0394513;-0.5778233;00.7599426;-0.1821193;-0.0394513
-0.1215179;00.0874278;00.5608986;-0.6483264;00.1215179;00.0644285;-0.5582732;00.7826020;-0.2243288;-0.0644285
-0.1493543;00.0857394;00.6198067;-0.7055461;00.1493543;00.0887424;-0.5407501;00.8051222;-0.2643721;-0.0887424
-0.1767130;00.0688790;00.6881639;-0.7570429;00.1767130;00.1117243;-0.5217063;00.8221559;-0.3004496;-0.1117243
-0.2026418;00.0276383;00.7732245;-0.8008628;00.2026418;00.1327760;-0.5012183;00.8328816;-0.3316633;-0.1327760
-0.2261897;-0.0464497;00.8785791;-0.8321295;00.2261897;00.1513943;-0.4806815;00.8378869;-0.3572054;-0.1513943
-0.2464829;-0.1543068;00.9960378;-0.8417310;00.2464829;00.1671581;-0.4621984;00.8388933;-0.3766949;-0.1671581
-0.2628454;-0.2856126;01.1066429;-0.8210304;00.2628454;00.1797144;-0.4479197;00.8389861;-0.3910664;-0.1797144
-0.2747607;-0.4280474;01.1933088;-0.7652614;00.2747607;00.1887808;-0.4389155;00.8417727;-0.4028572;-0.1887808
-0.2818528;-0.5685398;01.2433621;-0.6748223;00.2818528;00.1941517;-0.4350646;00.8495898;-0.4145253;-0.1941517
-0.2838862;-0.6936270;01.2493843;-0.5557573;00.2838862;00.1957114;-0.4350042;00.8626620;-0.4276578;-0.1957114
-0.2807778;-0.7913307;01.2100447;-0.4187139;00.2807778;00.1934473;-0.4362993;00.8790482;-0.4427489;-0.1934473
-0.2726111;-0.8538507;01.1302548;-0.2764040;00.2726111;00.1874460;-0.4359985;00.8954063;-0.4594078;-0.1874460
-0.2596446;-0.8791662;01.0205645;-0.1413983;00.2596446;00.1778703;-0.4313663;00.9082385;-0.4768722;-0.1778703
-0.2423035;-0.8709616;00.8967757;-0.0258142;00.2423035;00.1649291;-0.4203533;00.9148693;-0.4945160;-0.1649291
-0.2211696;-0.8376695;00.7792927;00.0583768;00.2211696;00.1488626;-0.4016566;00.9137284;-0.5120719;-0.1488626
-0.1970227;-0.7894925;00.6804247;00.1090677;00.1970227;00.1299499;-0.3746376;00.9041327;-0.5294951;-0.1299499
-0.1707268;-0.7327160;00.5999281;00.1327880;00.1707268;00.1085411;-0.3397377;00.8860159;-0.5462782;-0.1085411
-0.1431369;-0.6686800;00.5287082;00.1399718;00.1431369;00.0850849;-0.2977686;00.8591568;-0.5613881;-0.0850849
-0.1150723;-0.5948774;00.4507289;00.1441484;00.1150723;00.0601339;-0.2492298;00.8227600;-0.5735302;-0.0601339
-0.0891832;-0.5980909;00.5171872;00.0809037;00.0891832;00.0343376;-0.1941906;00.7754669;-0.5812763;-0.0343376
-0.0632519;-0.6050445;00.5864139;00.0186306;00.0632519;00.0083506;-0.1465461;00.7392358;-0.5926897;-0.0083506
-0.0373506;-0.6069479;00.6447765;-0.0378286;00.0373506;-0.0175932;-0.0985104;00.6999229;-0.6014125;00.0175932
-0.0115706;-0.6027529;00.6921789;-0.0894260;00.0115706;-0.0433570;-0.0464581;00.6515478;-0.6050897;00.0433570
00.0140505;-0.5928668;00.7301004;-0.1372336;-0.0140505;-0.0688945;00.0117008;00.5903841;-0.6020849;00.0688945
00.0394513;-0.5778725;00.7598436;-0.1819712;-0.0394513;-0.0941468;00.0783219;00.5118256;-0.5901475;00.0941468
00.0644285;-0.5583243;00.7825269;-0.2242026;-0.0644285;-0.1215179;00.0872405;00.5611113;-0.6483518;00.1215179
00.0887424;-0.5408019;00.8050681;-0.2642662;-0.0887424;-0.1493543;00.0855770;00.6199889;-0.7055659;00.1493543
00.1117243;-0.5217574;00.8221186;-0.3003612;-0.1117243;-0.1767130;00.0687405;00.6883153;-0.7570557;00.1767130
00.1327761;-0.5012678;00.8328575;-0.3315898;-0.1327761;-0.2026418;00.0275225;00.7733445;-0.8008670;00.2026418
00.1513944;-0.4807285;00.8378730;-0.3571445;-0.1513944;-0.2261897;-0.0465448;00.8786688;-0.8321240;00.2261897
00.1671581;-0.4622423;00.8388870;-0.3766447;-0.1671581;-0.2464830;-0.1543842;00.9961007;-0.8417166;00.2464830
00.1797144;-0.4479604;00.8389854;-0.3910250;-0.1797144;-0.2628455;-0.2856753;01.1066840;-0.8210087;00.2628455
00.1887808;-0.4389527;00.8417757;-0.4028230;-0.1887808;-0.2747608;-0.4280978;01.1933325;-0.7652347;00.2747608
00.1941516;-0.4350982;00.8495951;-0.4144969;-0.1941516;-0.2818528;-0.5685793;01.2433720;-0.6747927;00.2818528
00.1957113;-0.4350343;00.8626684;-0.4276341;-0.1957113;-0.2838863;-0.6936567;01.2493834;-0.5557267;00.2838863
00.1934472;-0.4363259;00.8790548;-0.4427289;-0.1934472;-0.2807778;-0.7913516;01.2100356;-0.4186839;00.2807778
00.1874459;-0.4360217;00.8954125;-0.4593908;-0.1874459;-0.2726111;-0.8538641;01.1302395;-0.2763755;00.2726111
00.1778702;-0.4313865;00.9082441;-0.4768576;-0.1778702;-0.2596446;-0.8791734;01.0205448;-0.1413714;00.2596446
00.1649290;-0.4203708;00.9148744;-0.4945036;-0.1649290;-0.2423035;-0.8709641;00.8967529;-0.0257888;00.2423035
00.1488626;-0.4016719;00.9137332;-0.5120613;-0.1488626;-0.2211696;-0.8376687;00.7792681;00.0584006;00.2211696
00.1299499;-0.3746510;00.9041374;-0.5294863;-0.1299499;-0.1970227;-0.7894898;00.6803998;00.1090899;00.1970227
00.1085411;-0.3397497;00.8860207;-0.5462710;-0.1085411;-0.1707268;-0.7327124;00.5999041;00.1328083;00.1707268
00.0850849;-0.2977794;00.8591618;-0.5613824;-0.0850849;-0.1431369;-0.6686760;00.5286858;00.1399902;00.1431369
00.0601339;-0.2492396;00.8227654;-0.5735258;-0.0601339;-0.1150723;-0.5948731;00.4507077;00.1441653;00.1150723
00.0343376;-0.1941995;00.7754726;-0.5812731;-0.0343376;-0.0891832;-0.5980890;00.5171721;00.0809168;00.0891832
