LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.0403497;-0.4570183;00.8509552;-0.3939370;00.0403497;-0.0145937;-0.4585977;00.8540694;-0.3954717;00.0145937
-0.0420209;-0.4568607;00.8506526;-0.3937919;00.0420209;-0.0129199;-0.4586454;00.8541716;-0.3955262;00.0129199
-0.0438997;-0.4566755;00.8502976;-0.3936221;00.0438997;-0.0110379;-0.4586911;00.8542718;-0.3955808;00.0110379
-0.0460126;-0.4564569;00.8498797;-0.3934227;00.0460126;-0.0089210;-0.4587323;00.8543663;-0.3956339;00.0089210
-0.0483892;-0.4561982;00.8493860;-0.3931878;00.0483892;-0.0065393;-0.4587660;00.8544492;-0.3956832;00.0065393
-0.0510631;-0.4558906;00.8488005;-0.3929098;00.0510631;-0.0038588;-0.4587878;00.8545130;-0.3957253;00.0038588
-0.0540718;-0.4555237;00.8481036;-0.3925799;00.0540718;-0.0008418;-0.4587918;00.8545476;-0.3957558;00.0008418
-0.0574577;-0.4550844;00.8472710;-0.3921866;00.0574577;00.0025546;-0.4587703;00.8545392;-0.3957688;-0.0025546
-0.0612683;-0.4545563;00.8462724;-0.3917162;00.0612683;00.0063786;-0.4587133;00.8544697;-0.3957564;-0.0063786
-0.0655570;-0.4539191;00.8450703;-0.3911512;00.0655570;00.0106841;-0.4586074;00.8543155;-0.3957081;-0.0106841
-0.0703836;-0.4531475;00.8436178;-0.3904703;00.0703836;00.0155322;-0.4584353;00.8540454;-0.3956101;-0.0155322
-0.0758153;-0.4522097;00.8418561;-0.3896463;00.0758153;00.0209912;-0.4581743;00.8536188;-0.3954446;-0.0209912
-0.0819276;-0.4510659;00.8397116;-0.3886456;00.0819276;00.0271380;-0.4577951;00.8529829;-0.3951879;-0.0271380
-0.0888046;-0.4496659;00.8370915;-0.3874256;00.0888046;00.0340588;-0.4572597;00.8520692;-0.3948096;-0.0340588
-0.0965405;-0.4479461;00.8338788;-0.3859327;00.0965405;00.0418502;-0.4565189;00.8507889;-0.3942701;-0.0418502
